"Ingredient1","Ingredient2","Ingredient3","ClassificationOutput"
"Eggs","Cheddar Cheese","Bacon","Highly Compatible"
"Chicken","Lemon","Capers","Highly Compatible"
"Walnuts","Watercress","Goat Cheese","Highly Compatible"
"Mushroom","Butter","Sage","Highly Compatible"
"Mushroom","Basil","Pine Nuts","Highly Compatible"
"Banana","Strawberry","Chocolate Syrup","Moderately Compatible"
"Mushroom","Cream Cheese","Chives","Highly Compatible"
"Salmon","Basil","Tomato","Highly Compatible"
"Shrimp","Tomato","Basil","Moderately Compatible"
"Blueberries","Blueberries","Yogurt","Compatible"
"Potato","Garlic","Parmesan Cheese","Highly Compatible"
"Salmon","Sesame Seeds","Ginger","Highly Compatible"
"Pineapple","Pomegranate Seeds","Yogurt","Highly Compatible"
"Walnuts","Kiwi","Honey","Moderately Compatible"
"Walnuts","Cinnamon","Maple Syrup","Moderately Compatible"
"Beef","Quinoa","Kale","Compatible"
"Mushroom","Tomato","Basil","Moderately Compatible"
"Cucumber","Mint","Watermelon","Moderately Compatible"
"Avocado","Pomegranate Seeds","Goat Cheese","Highly Compatible"
"Chicken","BBQ Sauce","Pineapple","Highly Compatible"
"Potato","Tomato","Basil","Highly Compatible"
"Potato","Paprika","Garlic Powder","Compatible"
"Beef","Chimichurri Sauce","Red Pepper Flakes","Moderately Compatible"
"Chickpeas","Red Onion","Lemon","Compatible"
"Eggs","Bacon","Jalapeno","Moderately Compatible"
"Chickpeas","Tomato","Feta Cheese","Highly Compatible"
"Cucumber","Smoked Salmon","Cream Cheese","Highly Compatible"
"Eggs","Avocado","Tomato","Highly Compatible"
"Cucumber","Tomato","Red Onion","Highly Compatible"
"Potato","Butter","Parsley","Compatible"
"Blueberries","Almond Milk","Oats","Compatible"
"Blueberries","Banana","Greek Yogurt","Moderately Compatible"
"Walnuts","Pistachios","Greek Yogurt","Compatible"
"Cucumber","Cream Cheese","Chives","Highly Compatible"
"Pineapple","Coconut Milk","Banana","Highly Compatible"
"Potato","Blue Cheese","Walnuts","Moderately Compatible"
"Mango","Pine Nuts","Arugula","Moderately Compatible"
"Mango","Chili Powder","Lime","Highly Compatible"
"Avocado","Kiwi","Strawberry","Compatible"
"Salmon","Mango","Pineapple","Compatible"
"Potato","Olive Oil","Rosemary","Compatible"
"Tomato","Red Pepper","Cumin","Highly Compatible"
"Eggs","Mushroom","Swiss Cheese","Compatible"
"Walnuts","Butternut Squash","Sage","Highly Compatible"
"Avocado","Tomato","Lime","Highly Compatible"
"Avocado","Bacon","Cherry Tomatoes","Highly Compatible"
"Potato","Honey","Mustard","Compatible"
"Pork","Paprika","Garlic Powder","Highly Compatible"
"Walnuts","Hazelnuts","Vanilla Ice Cream","Compatible"
"Chicken","Cilantro","Lime","Highly Compatible"
"Walnuts","Almond Butter","Honey","Compatible"
"Lemon","Rosemary","Chicken","Highly Compatible"
"Mango","Greek Yogurt","Honey","Highly Compatible"
"Pineapple","Coconut","Mango","Highly Compatible"
"Blueberries","Blueberries","Raspberry","Moderately Compatible"
"Mushroom","Thyme","Garlic","Highly Compatible"
"Shrimp","Avocado","Lime","Compatible"
"Chicken","Cilantro","Lime","Moderately Compatible"
"Potato","Rosemary","Brown Butter","Moderately Compatible"
"Lemon","Spinach","Feta Cheese","Moderately Compatible"
"Shrimp","Dijon Mustard","Maple Glaze","Moderately Compatible"
"Tomato","Pesto","Pine Nuts","Highly Compatible"
"Potato","Pesto","Sun-Dried Tomatoes","Moderately Compatible"
"Chickpeas","Cumin","Olive Oil","Highly Compatible"
"Tomato","Artichoke Hearts","Olives","Highly Compatible"
"Mango","Kiwi","Coconut Milk","Moderately Compatible"
"Pork","Brown Sugar","Bourbon","Highly Compatible"
"Mushroom","Onion","Rosemary","Moderately Compatible"
"Beef","Red Onion","Gorgonzola","Moderately Compatible"
"Cucumber","Pineapple","Jalapeno","Moderately Compatible"
"Lemon","Ginger","Mint","Compatible"
"Eggs","Avocado","Sriracha","Moderately Compatible"
"Avocado","Chickpeas","Red Onion","Compatible"
"Tomato","Corn","Black Beans","Moderately Compatible"
"Chickpeas","Chickpeas","Tomato","Compatible"
"Pumpkin","Apples","Curry","Moderately Compatible"
"Mushroom","Olive Oil","Thyme","Moderately Compatible"
"Avocado","Prosciutto","Arugula","Compatible"
"Potato","Garlic","Mushrooms","Moderately Compatible"
"Tomato","Hummus","Cucumber","Moderately Compatible"
"Potato","Sour Cream","Chives","Highly Compatible"
"Mango","Lime","Mint","Moderately Compatible"
"Potato","Lemon","Dijon Mustard","Compatible"
"Tomato","Cucumber","Red Onion","Highly Compatible"
"Lemon","Garlic","Olive Oil","Highly Compatible"
"Avocado","Strawberry","Balsamic Glaze","Moderately Compatible"
"Pineapple","Pineapple Juice","Rum","Highly Compatible"
"Blueberries","Coconut","Chia Seeds","Moderately Compatible"
"Potato","Olive Oil","Thyme","Highly Compatible"
"Avocado","Chickpeas","Lemon","Highly Compatible"
"Avocado","Shrimp","Lime","Compatible"
"Eggs","Chives","Goat Cheese","Moderately Compatible"
"Mushroom","Cream","Nutmeg","Highly Compatible"
"Cucumber","Goat Cheese","Walnuts","Moderately Compatible"
"Potato","Cheddar Cheese","Jalapeno","Moderately Compatible"
"Avocado","Corn","Black Beans","Compatible"
"Pineapple","Jalapeno","Cilantro","Highly Compatible"
"Cucumber","Red Pepper","Hummus","Highly Compatible"
"Pineapple","Ginger","Cucumber","Highly Compatible"
"Salmon","Blueberries","Almonds","Compatible"
"Tomato","Buffalo Sauce","Blue Cheese","Highly Compatible"
"Potato","Bacon","Ranch Dressing","Highly Compatible"
"Shrimp","Lemon","Garlic","Compatible"
"Pineapple","Kiwi","Coconut Milk","Highly Compatible"
"Lemon","Ginger","Green Tea","Highly Compatible"
"Avocado","Tomato","Basil","Moderately Compatible"
"Beef","Salmon","Cream Cheese","Compatible"
"Chicken","Lemon","Capers","Highly Compatible"
"Banana","Dark Chocolate","Hazelnuts","Moderately Compatible"
"Chickpeas","Lemon","Quinoa","Compatible"
"Walnuts","Banana","Greek Yogurt","Compatible"
"Avocado","Blueberries","Greek Yogurt","Moderately Compatible"
"Avocado","Watermelon","Mint","Highly Compatible"
"Chickpeas","Mango","Chili Powder","Moderately Compatible"
"Pineapple","Cinnamon","Vanilla Yogurt","Highly Compatible"
"Shrimp","Mango","Teriyaki Glaze","Compatible"
"Pork","Honey","Soy Sauce","Moderately Compatible"
"Banana","Chocolate Chips","Almond Milk","Highly Compatible"
"Chicken","Asparagus","Lemon","Compatible"
"Shrimp","Shrimp","Garlic","Compatible"
"Eggs","Spinach","Mushrooms","Moderately Compatible"
"Tomato","Basil","Mozzarella Sticks","Highly Compatible"
"Salmon","Orange","Thyme","Moderately Compatible"
"Salmon","Brown Rice","Teriyaki Glaze","Compatible"
"Avocado","Blueberries","Greek Yogurt","Compatible"
"Blueberries","Vanilla Extract","Coconut Milk","Compatible"
"Chicken","Garlic","Butter","Highly Compatible"
"Blueberries","Blueberries","Raspberry","Compatible"
"Chickpeas","Garlic","Brown Rice","Moderately Compatible"
"Walnuts","Orange","Goat Cheese","Compatible"
"Chickpeas","Olive Oil","Feta Cheese","Compatible"
"Tomato","Avocado","Cilantro","Highly Compatible"
"Eggs","Spinach","Feta Cheese","Highly Compatible"
"Pineapple","Kiwi","Blueberries","Moderately Compatible"
"Tomato","Buffalo Mozzarella","Prosciutto","Highly Compatible"
"Mango","Jalapeno","Cilantro","Highly Compatible"
"Tomato","Balsamic Vinegar","Red Onion","Highly Compatible"
"Cucumber","Garlic","Lemon","Highly Compatible"
"Mango","Banana","Greek Yogurt","Compatible"
"Tomato","Cucumber","Dill","Moderately Compatible"
"Walnuts","Almond Milk","Oats","Moderately Compatible"
"Tomato","Feta Cheese","Kalamata Olives","Highly Compatible"
"Walnuts","Cranberries","Quinoa","Moderately Compatible"
"Banana","Granola","Honey","Moderately Compatible"
"Mango","Mint","Lime","Highly Compatible"
"Blueberries","Cucumber","Lime","Compatible"
"Mango","Orange","Mint","Compatible"
"Avocado","Asparagus","Lemon","Moderately Compatible"
"Avocado","Blue Cheese","Walnuts","Highly Compatible"
"Shrimp","Parmesan Cheese","Pasta","Highly Compatible"
"Walnuts","Apple","Cinnamon","Compatible"
"Pork","Mango","Avocado","Compatible"
"Lemon","Blueberries","Greek Yogurt","Compatible"
"Blueberries","Raspberry","Vanilla Yogurt","Highly Compatible"
"Mushroom","Cumin","Coriander","Highly Compatible"
"Mushroom","Caramelized Onions","Gruyere Cheese","Moderately Compatible"
"Eggs","Feta Cheese","Olives","Moderately Compatible"
"Blueberries","Blueberries","Mango","Highly Compatible"
"Pork","Thyme","Dijon Mustard","Highly Compatible"
"Salmon","Dill","Lemon","Highly Compatible"
"Blueberries","Pomegranate Seeds","Quinoa","Moderately Compatible"
"Banana","Peanut Butter","Honey","Highly Compatible"
"Chicken","Teriyaki Sauce","Green Onions","Moderately Compatible"
"Eggs","Salmon","Cream Cheese","Compatible"
"Potato","Rosemary","Garlic","Highly Compatible"
"Chicken","Rosemary","Lemon","Highly Compatible"
"Salmon","Honey","Soy Sauce","Highly Compatible"
"Eggs","Blueberries","Almonds","Compatible"
"Banana","Apple","Cinnamon","Compatible"
"Shrimp","Lemon","Dill","Highly Compatible"
"Salmon","White Wine","Shallots","Moderately Compatible"
"Walnuts","Cherry Tomatoes","Mozzarella","Moderately Compatible"
"Avocado","Quinoa","Cucumber","Highly Compatible"
"Mango","Prosciutto","Goat Cheese","Highly Compatible"
"Tomato","Shrimp","Lemon","Highly Compatible"
"Lemon","Shrimp","Pasta","Highly Compatible"
"Avocado","Almond Butter","Banana","Moderately Compatible"
"Chicken","Pesto","Cherry Tomatoes","Highly Compatible"
"Banana","Orange","Greek Yogurt","Compatible"
"Shrimp","Coconut Milk","Curry","Highly Compatible"
"Salmon","Pesto","Cherry Tomatoes","Highly Compatible"
"Walnuts","Grapes","Gouda Cheese","Highly Compatible"
"Lemon","Blueberries","Greek Yogurt","Moderately Compatible"
"Blueberries","Mango","Avocado","Moderately Compatible"
"Mango","Blue Cheese","Walnuts","Compatible"
"Tomato","Goat Cheese","Pear","Highly Compatible"
"Potato","Parmesan Cheese","Black Pepper","Compatible"
"Walnuts","Apple","Honey","Highly Compatible"
"Salmon","Asparagus","Lemon","Compatible"
"Banana","Honey","Walnuts","Compatible"
"Tomato","Roasted Eggplant","Tahini","Highly Compatible"
"Avocado","Avocado","Tomato","Moderately Compatible"
"Eggs","Tomato","Mozzarella","Moderately Compatible"
"Avocado","Eggs","Spinach","Compatible"
"Tomato","Feta Cheese","Dill","Highly Compatible"
"Tomato","Garlic","Olive Tapenade","Highly Compatible"
"Walnuts","Balsamic Vinegar","Strawberries","Moderately Compatible"
"Shrimp","Shrimp","Garlic","Moderately Compatible"
"Walnuts","Brussels Sprouts","Maple Syrup","Highly Compatible"
"Avocado","Mango","Chili Powder","Highly Compatible"
"Pork","Apple","Sage","Highly Compatible"
"Cucumber","Balsamic Vinegar","Tomato","Highly Compatible"
"Pork","Maple Syrup","Mustard","Highly Compatible"
"Mango","Oats","Coconut Water","Compatible"
"Tomato","Grilled Zucchini","Pesto","Highly Compatible"
"Beef","Red Wine","Shallots","Highly Compatible"
"Chickpeas","Blueberries","Almond Butter","Compatible"
"Tomato","Brie Cheese","Arugula","Highly Compatible"
"Walnuts","Mango","Greek Yogurt","Moderately Compatible"
"Beef","Asparagus","Hollandaise Sauce","Highly Compatible"
"Walnuts","Prosciutto","Fig","Highly Compatible"
"Avocado","Chicken","Cilantro","Moderately Compatible"
"Salmon","Quinoa","Kale","Compatible"
"Pork","Rosemary","Garlic","Highly Compatible"
"Potato","Parmesan Cheese","Spinach","Moderately Compatible"
"Avocado","Radish","Arugula","Highly Compatible"
"Walnuts","Blue Cheese","Pear","Highly Compatible"
"Pineapple","Pine Nuts","Arugula","Moderately Compatible"
"Pork","Brown Sugar","Bourbon","Moderately Compatible"
"Shrimp","Cilantro","Lime","Moderately Compatible"
"Beef","Blue Cheese","Balsamic Glaze","Moderately Compatible"
"Mushroom","Soy Sauce","Green Onions","Highly Compatible"
"Avocado","Mango","Chili Powder","Moderately Compatible"
"Avocado","Brown Rice","Sesame Seeds","Compatible"
"Walnuts","Kiwi","Blueberries","Compatible"
"Shrimp","Lemon","Dill","Compatible"
"Potato","Sour Cream","Green Onions","Compatible"
"Eggs","Spinach","Hollandaise Sauce","Highly Compatible"
"Tomato","Pesto","Sun-dried Tomatoes","Highly Compatible"
"Potato","Brown Sugar","Cinnamon","Moderately Compatible"
"Potato","Bell Pepper","Corn","Moderately Compatible"
"Banana","Chia Seeds","Coconut Milk","Highly Compatible"
"Chickpeas","Chickpeas","Hummus","Highly Compatible"
"Eggs","Smoked Salmon","Dill","Compatible"
"Mango","Green Tea","Honey","Compatible"
"Mango","Shrimp","Avocado","Highly Compatible"
"Mushroom","White Wine","Tarragon","Moderately Compatible"
"Pineapple","Cottage Cheese","Almonds","Highly Compatible"
"Cucumber","Tzatziki Sauce","Red Onion","Highly Compatible"
"Mango","Honey","Lime","Compatible"
"Beef","Red Wine","Shallots","Highly Compatible"
"Chicken","Honey","Mustard","Highly Compatible"
"Eggs","Sausage","Bell Peppers","Highly Compatible"
"Tomato","Basil","Garlic Butter","Highly Compatible"
"Walnuts","Mango","Coconut Water","Moderately Compatible"
"Salmon","Caper Sauce","Artichokes","Compatible"
"Chicken","Sesame Seeds","Ginger","Highly Compatible"
"Shrimp","Lemon","Butter","Compatible"
"Lemon","Honey","Thyme","Compatible"
"Potato","BBQ Sauce","Green Onions","Highly Compatible"
"Mushroom","Balsamic Vinegar","Cherry Tomatoes","Compatible"
"Shrimp","Tomato","Basil","Compatible"
"Walnuts","Pomegranate Seeds","Goat Cheese","Compatible"
"Avocado","Pomegranate Seeds","Goat Cheese","Compatible"
"Beef","Asparagus","Hollandaise Sauce","Moderately Compatible"
"Salmon","Tomato","Basil","Compatible"
"Mango","Dark Chocolate","Pistachios","Compatible"
"Mango","Raspberry","Vanilla Ice Cream","Moderately Compatible"
"Chickpeas","Bell Pepper","Quinoa","Moderately Compatible"
"Chickpeas","Mango","Cilantro","Compatible"
"Salmon","Rice","Green Beans","Compatible"
"Avocado","Cilantro","Red Onion","Highly Compatible"
"Lemon","Olive Oil","Basil","Compatible"
"Eggs","Tomato","Basil","Highly Compatible"
"Blueberries","Blueberries","Yogurt","Highly Compatible"
"Potato","Mushrooms","Onions","Highly Compatible"
"Potato","BBQ Sauce","Chicken","Moderately Compatible"
"Eggs","Zucchini","Parmesan Cheese","Moderately Compatible"
"Avocado","Shrimp","Cilantro","Highly Compatible"
"Chicken","Pesto","Cherry Tomatoes","Moderately Compatible"
"Tomato","Roasted Garlic","Balsamic Glaze","Highly Compatible"
"Pineapple","Cream Cheese","Walnuts","Moderately Compatible"
"Shrimp","Tomato","Basil","Highly Compatible"
"Pork","Paprika","Garlic Powder","Moderately Compatible"
"Cucumber","Cherry Tomatoes","Mozzarella","Highly Compatible"
"Chicken","Garlic","Butter","Highly Compatible"
"Pineapple","Shrimp","Bell Pepper","Highly Compatible"
"Chicken","Honey","Mustard","Highly Compatible"
"Eggs","Ham","Swiss Cheese","Moderately Compatible"
"Cucumber","Feta Cheese","Kalamata Olives","Highly Compatible"
"Banana","Mango","Coconut Water","Highly Compatible"
"Mango","Strawberries","Balsamic Glaze","Highly Compatible"
"Chickpeas","Lemon","Garlic","Highly Compatible"
"Chicken","Tomato","Basil","Compatible"
"Mushroom","Lemon","Dill","Highly Compatible"
"Pineapple","Balsamic Vinegar","Strawberry","Highly Compatible"
"Mushroom","Cream","Parmesan Cheese","Highly Compatible"
"Salmon","Garlic","Butter","Highly Compatible"
"Beef","Horseradish","Parmesan Cheese","Highly Compatible"
"Chicken","Teriyaki Sauce","Green Onions","Highly Compatible"
"Banana","Almond Butter","Blueberries","Moderately Compatible"
"Avocado","Eggs","Spinach","Highly Compatible"
"Walnuts","Avocado","Blue Cheese","Highly Compatible"
"Potato","Cheddar Cheese","Broccoli","Compatible"
"Pineapple","Brown Sugar","Cinnamon","Highly Compatible"
"Mushroom","Olive Oil","Garlic","Highly Compatible"
"Walnuts","Orange","Dark Chocolate","Highly Compatible"
"Pork","Maple Syrup","Mustard","Highly Compatible"
"Pumpkin","Olive Oil","Rosemary","Highly Compatible"
"Salmon","Parmesan Cheese","Asparagus","Moderately Compatible"
"Potato","Cumin","Coriander","Highly Compatible"
"Beef","Red Onion","Gorgonzola","Highly Compatible"
"Walnuts","Pecans","Maple Syrup","Compatible"
"Avocado","Pineapple","Coconut Milk","Compatible"
"Pork","Cider Vinegar","Onions","Highly Compatible"
"Avocado","Walnut","Goat Cheese","Moderately Compatible"
"Walnuts","Cranberries","Brie Cheese","Highly Compatible"
"Shrimp","Shrimp","Garlic","Highly Compatible"
"Eggs","Red Onion","Bell Peppers","Moderately Compatible"
"Beef","Garlic","Rosemary","Highly Compatible"
"Pineapple","BBQ Sauce","Chicken","Highly Compatible"
"Eggs","Vanilla Extract","Strawberries","Compatible"
"Walnuts","Chocolate","Coconut","Moderately Compatible"
"Avocado","Mango","Coconut Water","Moderately Compatible"
"Lemon","Shrimp","Pasta","Compatible"
"Mango","Pineapple Juice","Rum","Compatible"
"Mushroom","Soy Sauce","Sesame Seeds","Moderately Compatible"
"Blueberries","Vanilla Extract","Coconut Milk","Highly Compatible"
"Pumpkin","Allspice","Bay Leaf","Highly Compatible"
"Tomato","Cilantro","Lime","Highly Compatible"
"Blueberries","Mango","Avocado","Compatible"
"Beef","Blueberries","Almonds","Compatible"
"Cucumber","Yogurt","Berries","Moderately Compatible"
"Avocado","Kiwi","Lime","Moderately Compatible"
"Avocado","Walnut","Blue Cheese","Compatible"
"Mushroom","Spinach","Lemon","Moderately Compatible"
"Avocado","Avocado","Avocado","Compatible"
"Walnuts","Orange","Arugula","Moderately Compatible"
"Chickpeas","Shrimp","Garlic","Compatible"
"Banana","Pineapple","Mango","Moderately Compatible"
"Chickpeas","Lemon","Tomato","Moderately Compatible"
"Chickpeas","Almond Butter","Banana","Moderately Compatible"
"Salmon","Maple Syrup","Mustard","Highly Compatible"
"Tomato","Olive Oil","Garlic","Highly Compatible"
"Shrimp","Pineapple","Lime","Compatible"
"Beef","Sage","Brown Butter","Highly Compatible"
"Chicken","Pomegranate Seeds","Walnuts","Compatible"
"Mango","Strawberry","Basil","Moderately Compatible"
"Banana","Raspberry","Vanilla Yogurt","Moderately Compatible"
"Pork","Cider Vinegar","Onions","Moderately Compatible"
"Salmon","Balsamic Glaze","Strawberry","Moderately Compatible"
"Chicken","Basil","Tomato","Highly Compatible"
"Lemon","Brown Sugar","Cinnamon","Moderately Compatible"
"Pork","Thyme","Dijon Mustard","Moderately Compatible"
"Tomato","Red Wine","Thyme","Moderately Compatible"
"Banana","Greek Yogurt","Strawberries","Highly Compatible"
"Chickpeas","Bell Pepper","Quinoa","Highly Compatible"
"Avocado","Avocado","Avocado","Moderately Compatible"
"Lemon","Brown Sugar","Cinnamon","Compatible"
"Lemon","Pomegranate Seeds","Goat Cheese","Moderately Compatible"
"Walnuts","Fig","Goat Cheese","Highly Compatible"
"Chickpeas","Blueberries","Almond Butter","Highly Compatible"
"Banana","Almond Milk","Chia Seeds","Compatible"
"Pork","Apple","Cinnamon","Compatible"
"Avocado","Bell Pepper","Hummus","Moderately Compatible"
"Walnuts","Peach","Goat Cheese","Moderately Compatible"
"Tomato","Cheddar Cheese","Bacon","Highly Compatible"
"Pork","Rosemary","Garlic","Highly Compatible"
"Tomato","Sundried Tomato Pesto","Basil","Highly Compatible"
"Avocado","Prosciutto","Mozzarella","Highly Compatible"
"Blueberries","Cucumber","Lime","Moderately Compatible"
"Potato","Cilantro","Coconut Milk","Moderately Compatible"
"Shrimp","Bell Pepper","Zucchini","Moderately Compatible"
"Shrimp","Lime","Cilantro","Highly Compatible"
"Lemon","Avocado","Tomato","Compatible"
"Pumpkin","Pumpkin Seeds","Cream Cheese","Highly Compatible"
"Avocado","Tomato","Mozzarella","Compatible"
"Salmon","Cilantro","Lime","Highly Compatible"
"Chickpeas","Shrimp","Lemon","Highly Compatible"
"Lemon","Basil","Tomato","Highly Compatible"
"Lemon","Honey","Salmon","Highly Compatible"
"Pineapple","Coconut Water","Lime","Highly Compatible"
"Tomato","Ricotta Salata","Pine Nuts","Moderately Compatible"
"Salmon","Mango","Avocado","Moderately Compatible"
"Walnuts","Vanilla Yogurt","Blueberries","Moderately Compatible"
"Pumpkin","Pasta","Butter","Moderately Compatible"
"Chickpeas","Blueberries","Feta Cheese","Moderately Compatible"
"Lemon","Mint","Watermelon","Highly Compatible"
"Pumpkin","Cinnamon","Ginger","Highly Compatible"
"Lemon","Feta Cheese","Watermelon","Compatible"
"Banana","Spinach","Pineapple","Compatible"
"Pineapple","Ham","Swiss Cheese","Highly Compatible"
"Walnuts","Strawberry","Balsamic Glaze","Highly Compatible"
"Avocado","Brown Rice","Sesame Seeds","Moderately Compatible"
"Potato","Cilantro","Lime","Highly Compatible"
"Avocado","Feta Cheese","Olive Oil","Compatible"
"Tomato","Cream Cheese","Smoked Salmon","Highly Compatible"
"Shrimp","Mango","Coconut Water","Moderately Compatible"
"Lemon","Feta Cheese","Quinoa","Highly Compatible"
"Potato","Dill","Lemon","Highly Compatible"
"Pineapple","Chicken","Teriyaki Sauce","Highly Compatible"
"Salmon","Brown Sugar","Bourbon","Moderately Compatible"
"Mushroom","Soy Sauce","Ginger","Highly Compatible"
"Salmon","Dijon Mustard","Maple Glaze","Moderately Compatible"
"Avocado","Almond Butter","Banana","Compatible"
"Shrimp","Coconut Milk","Curry","Compatible"
"Lemon","Avocado","Cilantro","Highly Compatible"
"Avocado","Smoked Salmon","Cream Cheese","Highly Compatible"
"Pineapple","Greek Yogurt","Honey","Highly Compatible"
"Blueberries","Oats","Banana","Highly Compatible"
"Shrimp","Avocado","Lime","Highly Compatible"
"Tomato","Dijon Mustard","Shallots","Highly Compatible"
"Tomato","Red Pepper Flakes","Parmesan Cheese","Moderately Compatible"
"Beef","Garlic","Rosemary","Highly Compatible"
"Blueberries","Greek Yogurt","Honey","Highly Compatible"
"Tomato","Smoked Salmon","Cream Cheese","Highly Compatible"
"Chickpeas","Cumin","Garlic","Compatible"
"Chickpeas","Red Onion","Cucumber","Moderately Compatible"
"Chicken","Sesame Seeds","Ginger","Moderately Compatible"
"Lemon","Avocado","Bell Pepper","Moderately Compatible"
"Eggs","Smoked Salmon","Cream Cheese","Highly Compatible"
"Potato","Garlic","Chives","Compatible"
"Cucumber","Strawberries","Balsamic Glaze","Moderately Compatible"
"Chicken","BBQ Sauce","Pineapple","Moderately Compatible"
"Mushroom","Dijon Mustard","Thyme","Highly Compatible"
"Potato","Garlic","Soy Sauce","Moderately Compatible"
"Avocado","Pomegranate Seeds","Quinoa","Moderately Compatible"
"Potato","Garlic","Paprika","Highly Compatible"
"Pineapple","Orange","Mint","Highly Compatible"
"Walnuts","Pomegranate Seeds","Goat Cheese","Highly Compatible"
"Pumpkin","Brown Sugar","Pine Nuts","Highly Compatible"
"Mushroom","Garlic","Lemon Zest","Highly Compatible"
"Blueberries","Banana","Peanut Butter","Highly Compatible"
"Eggs","Artichokes","Sundried Tomatoes","Compatible"
"Banana","Oats","Almond Butter","Highly Compatible"
"Cucumber","Radish","Cilantro","Highly Compatible"
"Mango","Kiwi","Blueberries","Moderately Compatible"
"Walnuts","Dark Chocolate","Strawberries","Compatible"
"Pineapple","Prosciutto","Goat Cheese","Highly Compatible"
"Blueberries","Spinach","Almond Butter","Highly Compatible"
"Cucumber","Feta Cheese","Spinach","Highly Compatible"
"Walnuts","Banana","Chocolate Chips","Compatible"
"Walnuts","Avocado","Lime","Moderately Compatible"
"Potato","BBQ Sauce","Pineapple","Compatible"
"Walnuts","Sweet Potato","Cinnamon","Highly Compatible"
"Tomato","Smoked Paprika","Queso Fresco","Highly Compatible"
"Avocado","Mango","Coconut Water","Compatible"
"Potato","Thyme","Lemon","Moderately Compatible"
"Potato","Thyme","Basil","Compatible"
"Beef","Blue Cheese","Balsamic Glaze","Highly Compatible"
"Walnuts","Mango","Chili Powder","Compatible"
"Salmon","Cucumber","Greek Yogurt","Moderately Compatible"
"Walnuts","Avocado","Lime","Compatible"
"Avocado","Bacon","Ranch Dressing","Compatible"
"Pineapple","Papaya","Coconut Flakes","Moderately Compatible"
"Pineapple","Avocado","Red Onion","Highly Compatible"
"Walnuts","Pistachios","Feta Cheese","Moderately Compatible"
"Potato","Cumin","Paprika","Moderately Compatible"
"Mushroom","Spinach","Feta Cheese","Moderately Compatible"
"Blueberries","Spinach","Almond Butter","Moderately Compatible"
"Tomato","Garlic","Rosemary","Moderately Compatible"
"Potato","Maple Syrup","Bacon","Moderately Compatible"
"Walnuts","Banana","Greek Yogurt","Highly Compatible"
"Eggs","Broccoli","Cheddar Cheese","Highly Compatible"
"Pineapple","Raspberry","Vanilla Ice Cream","Highly Compatible"
"Shrimp","Avocado","Lime","Moderately Compatible"
"Beef","Mushroom","Thyme","Highly Compatible"
"Mango","Brown Sugar","Cinnamon","Moderately Compatible"
"Walnuts","Pumpkin","Cream Cheese","Highly Compatible"
"Potato","Garlic","Onion Powder","Compatible"
"Blueberries","Banana","Vanilla Yogurt","Compatible"
"Walnuts","Ricotta","Honey","Highly Compatible"
"Eggs","Cheddar Cheese","Green Onion","Compatible"
"Shrimp","Lemon","Garlic","Moderately Compatible"
"Lemon","Honey","Mint","Moderately Compatible"
"Pineapple","Strawberry","Basil","Moderately Compatible"
"Eggs","Smoked Paprika","Potatoes","Compatible"
"Avocado","Mango","Jalapeno","Compatible"
"Potato","Cilantro","Lime","Compatible"
"Walnuts","Cherry Tomatoes","Mozzarella","Compatible"
"Avocado","Feta Cheese","Olive Oil","Highly Compatible"
"Mushroom","Honey","Mustard","Moderately Compatible"
"Tomato","Goat Cheese","Honey","Moderately Compatible"
"Mango","Papaya","Coconut Milk","Moderately Compatible"
"Salmon","Coconut Milk","Lime","Moderately Compatible"
"Blueberries","Lemon","Mint","Highly Compatible"
"Pork","Apple","Sage","Highly Compatible"
"Chickpeas","Spinach","Curry","Highly Compatible"
"Mango","Watermelon","Feta Cheese","Moderately Compatible"
"Shrimp","Lemon","Garlic","Highly Compatible"
"Tomato","Capers","Anchovies","Moderately Compatible"
"Blueberries","Pomegranate Seeds","Quinoa","Compatible"
"Mango","Cucumber","Yogurt","Moderately Compatible"
"Tomato","Caprese Salad","Balsamic Glaze","Highly Compatible"
"Walnuts","Pear","Arugula","Highly Compatible"
